FID,Eastings,Northings,LST,NDVI,NDMI
206,666318.1744,1409057.479,32.2790985,0.206928,0.0604743
207,666769.1045,1409718.706,32.858799,0.0973817,-0.160881
208,665943.8652,1408855.253,32.0251999,0.127921,-0.089739
209,666028.5798,1408854.188,31.4596004,0.177397,0.0406474
210,666226.8983,1410055.998,31.7215996,0.093602,-0.10149
211,665757.1685,1410106.187,30.0795002,0.10084,-0.0175509
212,666468.7351,1410182.45,32.0477982,0.0563899,-0.127613
213,666256.9485,1409916.968,32.3263016,0.108538,-0.0787464
214,665688.0458,1409315.584,31.3808002,0.104501,-0.0755019
215,665863.6321,1408977.074,32.0139999,0.221212,0.0082756
216,665967.9923,1409812.638,31.191,0.103814,-0.0868549
217,666228.3093,1409623.091,31.7731991,0.114773,-0.0402495
218,646886.6581,1397340.97,31.3514004,0.11411,-0.119764
219,646994.2116,1397091.98,30.5531998,0.149097,-0.0635962
220,646933.1651,1397472.918,31.4575005,0.185243,-0.0404025
221,646894.9809,1397376.484,31.4937,0.0779707,-0.122749
222,646878.2716,1397258.185,31.2042999,0.129739,-0.0939184
223,646998.1553,1396985.36,31.3220005,0.14914,-0.121587
224,646674.5147,1396772.488,34.0499992,0.144065,-0.134797
225,646683.4297,1397739.727,31.5886993,0.0587897,-0.0836777
226,646768.0073,1397665.786,31.5344009,0.119791,-0.0862121
227,646672.7054,1398115.038,30.8917999,0.188772,-0.0657284
228,646659.7079,1398000.206,30.9076004,0.205877,0.0155772
229,647028.4799,1397222.031,29.0013008,0.257811,-0.0567332
230,647062.5804,1397270.754,28.9550991,0.296625,0.0182967
231,646923.6159,1397582.001,31.7821999,0.160736,-0.0807884
232,647058.1193,1397313.151,28.8446999,0.215287,-0.0643294
233,647561.3952,1397885.487,30.2754993,0.163513,-0.047633
234,647365.7453,1398031.745,31.6539001,0.100925,-0.0632742
235,647679.3521,1397871.189,28.4211998,0.376192,0.0722832
236,647609.5592,1397836.644,29.1303005,0.171613,-0.0784314
237,646889.4068,1398275.793,30.2233009,0.0622522,-0.102513
238,646734.77,1398224.453,30.7033005,0.134144,-0.087117
239,647196.3584,1397900.733,31.4326992,0.103348,-0.0697391
240,646983.8867,1398416.914,31.8183994,0.122348,-0.0967558
241,648075.4078,1398402.745,32.3754005,0.135689,-0.163362
242,647817.8264,1398200.092,30.8460007,0.240511,-0.0349364
243,647978.4362,1398588.96,31.6966991,0.133432,-0.102206
244,648158.9138,1398480.175,32.4830017,0.124541,-0.122936
245,647729.2262,1398024.667,29.8048992,0.171455,-0.120604
246,647664.998,1397935.868,28.6247997,0.392813,0.159612
247,647849.9286,1398140.517,30.4256992,0.183053,-0.0777699
248,647770.7487,1398094.985,29.5345001,0.239134,-0.104834
249,647982.6697,1399325.293,29.0172997,0.294004,-0.0014723
250,647980.8463,1399114.676,31.5974007,0.198112,-0.0453228
251,647991.7655,1399838.969,31.4008999,0.175593,-0.08219
252,647931.3804,1399670.524,30.2845993,0.155011,-0.0570893
253,647885.3795,1398699.867,29.1578007,0.337971,0.0357143
254,647898.0765,1398596.347,31.5974007,0.227313,-0.113809
255,647832.1335,1398958.538,32.0681992,0.0999647,-0.1
256,647802.9305,1398744.145,30.1660004,0.152067,0.068175
257,647720.8453,1400210.897,32.1306992,0.190779,-0.0913076
258,647579.5556,1400059.045,31.5681992,0.0943262,-0.0968686
259,647537.4496,1400376.07,32.7468987,0.0980471,-0.126604
260,647550.6005,1400299.481,32.6799011,0.174328,-0.125426
261,647998.2856,1400061.49,31.4981003,0.169802,-0.131844
262,647947.4575,1399907.613,31.3491001,0.130525,-0.115612
263,647737.994,1399999.047,31.8971004,0.124963,-0.11224
264,647906.6656,1400118.404,32.4942017,0.119797,-0.165794
265,659964.9548,1411956.783,32.6217003,0.0795953,-0.156259
266,647918.5494,1399574.579,30.2000999,0.144163,-0.0515412
267,660219.5701,1411950.903,32.6418991,0.160526,-0.163159
268,659936.4654,1411902.162,32.4067993,0.141762,-0.133721
269,648267.0636,1399117.488,32.8697014,0.177532,-0.134574
270,648013.081,1398948.286,32.4047012,0.169869,-0.0951512
271,647681.1187,1399190.899,31.9804001,0.106102,-0.0787333
272,647680.782,1399043.831,31.9512005,0.0863561,-0.140547
273,659945.8218,1411772.515,32.151001,0.100528,-0.107175
274,660039.932,1411705.898,30.3983994,0.12331,-0.140047
275,659699.2356,1411774.718,34.0633011,0.0834173,-0.185395
276,659905.0981,1412134.944,33.2575989,0.170609,-0.169455
277,659918.4434,1411826.918,32.5993996,0.173757,-0.0849918
278,659824.1076,1411882.385,33.8462982,0.113017,-0.105664
279,659930.2393,1411614.394,29.6928005,0.115461,-0.100446
280,659940.8556,1411756.628,32.151001,0.104367,-0.132899
281,667130.737,1409884.104,31.6382999,0.0998736,-0.0777181
282,666852.2209,1410056.546,31.7257996,0.194222,-0.13014
283,667624.6866,1409890.372,31.0098991,0.0535973,-0.0891635
284,667415.1078,1409910.48,32.1893997,0.111207,-0.0639395
285,666333.5593,1410203.445,30.6350002,0.191067,-0.0440967
286,666362.357,1410254.274,30.7959995,0.227732,0.0705058
287,666773.7241,1409970.077,31.1340008,0.24666,0.0279778
288,666353.8301,1410165.231,31.0618992,0.143535,-0.0350892
289,667087.3,1410103.661,31.8813992,0.205743,-0.0663064
290,667317.0031,1410321.24,31.4305992,0.059466,-0.0268817
291,667874.0346,1410115.613,32.5591011,0.221943,-0.0133679
292,667044.0707,1410113.053,31.8882008,0.133027,-0.0455446
293,667463.5947,1410097.969,32.9459,0.0537618,-0.117261
294,667575.0596,1410053.733,32.6599007,0.0502011,-0.16689
295,667279.0161,1410172.522,31.6629009,0.129724,-0.128406
296,667278.9199,1410078.991,31.6811008,0.131341,-0.147596
297,608335.3742,1342931.686,31.6807995,0.235096,-0.114083
298,608209.4611,1343028.606,32.9233017,0.148613,-0.065895
299,613131.252,1341084.094,32.1978989,0.305814,-0.0399739
300,613663.5288,1341090.451,34.4319992,0.1051,-0.153086
301,613024.0627,1341787.197,31.6580009,0.266804,-0.065919
302,613626.8289,1341587.238,34.0786018,0.155663,-0.119366
303,613366.4786,1340648.244,33.7972984,0.242479,-0.0728516
304,618591.8784,1336032.13,34.918499,0.108463,-0.177251
305,618570.2797,1336418.394,35.0633011,0.121533,-0.198278
306,617894.7833,1334934.834,33.0214005,0.308522,-0.0557763
307,606991.5392,1348158.058,32.7355995,0.160349,-0.104558
308,607130.8952,1348080.479,30.2616005,0.188219,-0.0785597
309,607004.4616,1348230.157,32.5612984,0.117614,-0.054276
310,607060.4438,1347771.728,35.4029999,0.0802521,-0.201756
311,607013.4874,1348049.666,32.2155991,0.29165,-0.0408075
312,607160.6114,1348051.145,30.4234009,0.234443,-0.0550643
313,606993.5435,1347958.506,34.1823997,0.144134,-0.176454
314,606681.5561,1348128.734,35.6609993,0.124063,-0.190844
315,606527.4541,1348848.606,33.1637001,0.15666,-0.113807
316,606733.18,1349137.66,32.4085007,0.243722,-0.015305
317,606677.3083,1349179.404,33.3843002,0.132883,-0.128037
318,606913.1436,1347753.443,35.5537987,0.110975,-0.173972
319,606575.4678,1349457.002,33.0457993,0.237617,-0.0532867
320,606637.1448,1349441.189,33.4934998,0.249918,-0.0477356
321,607804.7442,1343212.752,34.1338997,0.110541,-0.192409
322,607956.1082,1342990.76,34.3348999,0.0645042,-0.142084
323,606930.9217,1349266.89,31.7073002,0.27977,-0.0474447
324,606741.6267,1349417.106,34.5774002,0.0802711,-0.168547
325,622111.1336,1342702.347,28.3728008,0.34203,0.0134685
326,621754.4639,1342794.588,30.156601,0.362586,-0.0157887
327,597675.8391,1339630.651,33.6907997,0.182696,-0.117282
328,621069.0677,1345404.821,33.2998009,0.16559,-0.125719
329,621910.9444,1343437.718,31.0116005,0.264871,-0.0456679
330,620824.1828,1345273.765,34.5223007,0.129986,-0.142678
331,622068.274,1342931.235,27.3451004,0.314255,0.0013407
332,598653.3565,1340266.996,33.3110008,0.1271,-0.148059
333,622341.7283,1342689.415,30.4526997,0.350595,0.0264592
334,598859.9312,1340105.685,33.9037018,0.141749,-0.130585
335,621706.0563,1342981.842,31.9172001,0.177205,-0.129693
336,598900.3543,1339676.892,34.4384995,0.149074,-0.166482
337,620946.4689,1344710.693,35.3613014,0.187275,-0.120107
338,620667.882,1344817.936,35.7178993,0.160268,-0.16861
