FID,Eastings,Northings,No_of_Larv,LST,NDVI,NDMI
183,656909.4975,1408786.317,71,26.7978001,0.362976,-0.0349629
184,656961.091,1408556.447,95,25.5576,0.224318,-0.0250883
185,657167.4532,1408616.732,37,22.9015999,0.109392,0.242574
186,655644.3574,1406723.7,111,25.9787006,0.357592,0.0294669
187,655556.0024,1406658.171,26,26.9503002,0.265246,-0.103603
188,655608.1198,1406864.303,49,28.4080009,0.326914,-0.0736186
189,655755.1898,1406786.125,53,24.5988007,-0.120723,0.0126394
190,655562.3225,1406900.112,49,28.9482994,0.363165,0.011063
191,656657.5609,1408897.826,37,26.4643002,0.370462,0.0405638
192,655522.608,1406742.027,52,28.1182003,0.324637,-0.0061563
193,655526.609,1406801.709,71,28.2621002,0.255319,-0.0458221
194,666066.3277,1408834.245,85,25.4531994,0.259361,0.0054782
195,655822.2326,1407433.831,43,28.1460991,0.256688,-0.124056
196,666313.1412,1408606.905,85,25.7045002,0.313825,0.0811377
197,665948.3483,1409970.574,75,26.5303993,0.280401,0.0231872
198,655930.8671,1407424.49,61,27.0977993,0.255474,-0.0089219
199,655905.3201,1407482.604,42,26.1651993,0.240481,-0.0127592
200,655787.3882,1407348.465,38,28.6623993,0.27468,-0.0951473
201,655917.9918,1407362.868,65,27.8675003,0.187416,-0.0788006
202,665669.4493,1409150.155,85,24.4309998,0.169469,0.0311808
203,665618.1408,1408921.168,65,25.5053997,0.257382,0.0355068
204,665925.9438,1409104.821,85,24.7273998,0.423868,0.0648202
205,665900.1621,1409200.044,70,25.0825996,0.213034,0.0293255
206,666318.1744,1409057.479,70,26.8917999,0.29077,0.0676424
207,666769.1045,1409718.706,75,26.4055004,0.2527,-0.0418502
208,665943.8652,1408855.253,73,25.9480991,0.181838,-0.0542391
209,666028.5798,1408854.188,70,25.7066994,0.324844,0.0761708
210,666226.8983,1410055.998,85,26.7674999,0.233921,-0.0503475
211,665757.1685,1410106.187,95,24.7633991,0.271617,0.0637515
212,666468.7351,1410182.45,65,26.5513992,0.226905,-0.0767259
213,666256.9485,1409916.968,85,27.4834003,0.200177,-0.0127365
214,665688.0458,1409315.584,85,25.3537006,0.176812,-0.0288741
215,665863.6321,1408977.074,80,26.0638008,0.350539,0.0558276
216,665967.9923,1409812.638,75,26.1819,0.0946732,-0.0995025
217,666228.3093,1409623.091,75,26.4573002,0.245771,-0.0043193
218,646886.6581,1397340.97,19,24.6508999,0.163768,-0.0373064
219,646994.2116,1397091.98,54,22.2567005,0.414088,0.259259
220,646933.1651,1397472.918,61,25.1515007,0.290177,0.0040235
221,646894.9809,1397376.484,28,24.7847004,0.17836,-0.0505002
222,646878.2716,1397258.185,46,24.2105007,0.33893,0.0518036
223,646998.1553,1396985.36,72,21.1812992,0.359252,0.255827
224,646674.5147,1396772.488,58,24.5718994,0.439778,0.0894427
225,646683.4297,1397739.727,20,27.2173004,0.0950109,-0.106492
226,646768.0073,1397665.786,47,26.8567009,0.169727,-0.0813481
227,646672.7054,1398115.038,32,26.9456997,0.233184,-0.073698
228,646659.7079,1398000.206,38,26.9199009,0.20433,0.0598139
229,647028.4799,1397222.031,34,21.5844994,0.309436,0.325066
230,647062.5804,1397270.754,59,21.2994003,0.455172,0.313911
231,646923.6159,1397582.001,41,25.8794994,0.231985,-0.0364083
232,647058.1193,1397313.151,38,21.3610001,0.410418,0.245683
233,647561.3952,1397885.487,51,23.1821003,0.375015,0.112677
234,647365.7453,1398031.745,66,26.9832001,0.12065,-0.0727419
235,647679.3521,1397871.189,19,21.3511009,0.271958,0.215418
236,647609.5592,1397836.644,44,21.7243004,0.114035,0.197244
237,646889.4068,1398275.793,50,27.2336998,0.0825143,-0.0995487
238,646734.77,1398224.453,29,27.1072998,0.162713,-0.0895999
